ID,Purpose,Area,Genre,Sub-genre,Subject,Keywords,Collection,Type,Title,Sub-title,Translated-title,PALM code,Related (same),Related (omnibus),Related (support),Year,Author,Other creator1,Other creator1 ROLE,Other creator2,Other creator2 ROLE,Other creator3,Other creator3 ROLE,Illustrator,Publisher,Contributor / Project / Partner,Pages,Language 1,ISO (Language 1),Language 2,ISO (Language 2),Island,State,Learner level,VLA standard,VLA benchmark,TOC,Notes related to the issue.,Notes related to version.,Notes related to content.,DESCRIPTION,ABSTRACT,LEVEL,DOCUMENT FILENAME,THUMBNAIL FILENAME,DIGITAL SOURCE (WHERE IS THE PDF FROM),ALTERNATIVE DOCUMENT FILENAME,ALTERNATIVE THUMBNAIL FILENAME,ALTERNATIVE DIGITAL SOURCE (WHERE IS THE PDF FROM),Uploaded audio,Uploaded video,External video link,External web page link,CONTACT,Library UH link,Library UH comment,Library COM link,Library COM comment,Library UOG link,Library UOG comment,Library MICSEM link,Library MICSEM comment,OLLC number,ISBN number,COM call number
1418,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Feilo Leniomw Kúkkún Piik,,[Go Home Little Pig],,,,,2006,"Noto, Lee","Okichy, Adelyne|Keres, Petrus",Translated and reviewed by,,,,,"Phillips, Lori",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,8,Chuukese,chk,,,Chuuk,Chuuk State,,,,,,,,,,Y,Pacific Language Early Readers - Chuukese - Go Home Little Pig,Pacific Language Early Readers - Chuukese - Go Home Little Pig,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1419,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Everyday stories,,Pacific Language Early Readers,Narrative reader,Ngaang Mi Toongeni Kúna,,[I Can See],,,,,2006,"Ruluked, Ebil","Okichy, Adelyne|Keres, Petrus",Translated and reviewed by,,,,,"Olkeriil, Gary",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,9,Chuukese,chk,,,Chuuk,Chuuk State,,,,,,,,,,Y,Pacific Language Early Readers - Chuukese - I Can See,Pacific Language Early Readers - Chuukese - I Can See,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1420,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Kúkkún Lukukkutong mei Chón,,[Little Black Ant],,,,,2006,"Ruluked, Ebil","Okichy, Adelyne|Keres, Petrus",Translated and reviewed by,,,,,"Olkeriil, Gary",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,10,Chuukese,chk,,,Chuuk,Chuuk State,,,,,,,,,,Y,Pacific Language Early Readers - Chuukese - Little Black Ant,Pacific Language Early Readers - Chuukese - Little Black Ant,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1421,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Chómmóng Maan,,[Many Animals],,,,,2006,"Lafita, Hannah","Keres, Petrus|Okichy, Adelyne",Translated and reviewed by,,,,,"Padua, Jennifer",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,8,Chuukese,chk,,,Chuuk,Chuuk State,,,,,,,,,,Y,Pacific Language Early Readers - Chuukese - Many Animals,Pacific Language Early Readers - Chuukese - Many Animals,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1422,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Maru,,[Maru],,,,,2006,"Ehram, Joe|Helgerberger, Pihdelis|Herry, Lepty|Irasdos, Elihner|Lukner, Welner|Robert, Newton|Rosario, Ioanis|Seiola, Yosko|Shed, Laura","Keres, Petrus|Okichy, Adelyne",Translated and reviewed by,,,,,,Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,12,Chuukese,chk,,,Chuuk,Chuuk State,,,,,,,,,,Y,Pacific Language Early Readers - Chuukese - Maru,Pacific Language Early Readers - Chuukese - Maru,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1423,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Nei Maan Fóón,,[My Pet],,,,,2006,"Ruluked, Ebil","Souleng, Takaichy|Keres, Petrus",Translated and reviewed by,,,,,"Olkeriil, Gary",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,11,Chuukese,chk,,,Chuuk,Chuuk State,,,,,,,,,,Y,Pacific Language Early Readers - Chuukese - My Pet,Pacific Language Early Readers - Chuukese - My Pet,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1424,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Péén Tino we Mii Marip,,[Tino's Cracked Shell],,,,,2006,"Route Peter, Niceleen","Okichy, Adelyne|Keres, Petrus",Translated and reviewed by,,,,,,Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,7,Chuukese,chk,,,Chuuk,Chuuk State,,,,,,,,,,Y,Pacific Language Early Readers - Chuukese - Tino's Cracked Shell,Pacific Language Early Readers - Chuukese - Tino's Cracked Shell,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1425,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Living things and environment,Plants,Pacific Language Early Readers,Narrative reader,Irá me Chéén,,[Trees and leaves],,,,,2006,"Padua, Jennifer F. M.","Keres, Petrus|Okichy, Adelyne",Translated and reviewed by,,,,,"Lafita, Hannah|de Brum, Rose",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,8,Chuukese,chk,,,Chuuk,Chuuk State,,,,,,,,,,Y,Pacific Language Early Readers - Chuukese - Trees and Leaves,Pacific Language Early Readers - Chuukese - Trees and Leaves,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1426,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Túmwúnúech Umwoumw,,[Watch Out Hermit Crab],,,,,2006,"Noto, Lee","Souleng, Takaichy|Keres, Petrus",Translated and reviewed by,,,,,"Phillips, Lori",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,10,Chuukese,chk,,,Chuuk,Chuuk State,,,,,,,,,,Y,Pacific Language Early Readers - Chuukese - Watch Out Hermit Crab,Pacific Language Early Readers - Chuukese - Watch Out Hermit Crab,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1427,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Everyday stories,,Pacific Language Early Readers,Narrative reader,Meet kopwe féri? (Pworóórausen Tafa me Emily),,[What Would You Do (The Tale of Tafa and Emily)],,,,,2006,"Noto, Lee","Keres, Petrus|Okichy, Adelyne",Translated and reviewed by,,,,,"Phillips, Lori",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,14,Chuukese,chk,,,Chuuk,Chuuk State,,,,,,,,,,Y,Pacific Language Early Readers - Chuukese - What Would You Do,Pacific Language Early Readers - Chuukese - What Would You Do,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1428,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Go Home Little Pig,,[Go Home Little Pig],,,,,2006,"Noto, Lee",,,,,,,"Phillips, Lori",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,8,English,eng,,,,,,,,,,,,,,Y,Pacific Language Early Readers - English - Go Home Little Pig,Pacific Language Early Readers - English - Go Home Little Pig,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1429,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Everyday stories,,Pacific Language Early Readers,Narrative reader,I Can See,,[I Can See],,,,,2006,"Ruluked, Ebil",,,,,,,"Olkeriil, Gary",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,9,English,eng,,,,,,,,,,,,,,Y,Pacific Language Early Readers - English - I Can See,Pacific Language Early Readers - English - I Can See,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1430,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Little Black Ant,,[Little Black Ant],,,,,2006,"Ruluked, Ebil",,,,,,,"Olkeriil, Gary",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,10,English,eng,,,,,,,,,,,,,,Y,Pacific Language Early Readers - English - Little Black Ant,Pacific Language Early Readers - English - Little Black Ant,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1431,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Many Animals,,[Many Animals],,,,,2006,"Lafita, Hannah",,,,,,,"Padua, Jennifer",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,8,English,eng,,,,,,,,,,,,,,Y,Pacific Language Early Readers - English - Many Animals,Pacific Language Early Readers - English - Many Animals,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1432,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Maru,,[Maru],,,,,2006,"Ehram, Joe|Helgerberger, Pihdelis|Herry, Lepty|Irasdos, Elihner|Lukner, Welner|Robert, Newton|Rosario, Ioanis|Seiola, Yosko|Shed, Laura",,,,,,,,Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,12,English,eng,,,,,,,,,,,,,,Y,Pacific Language Early Readers - English - Maru,Pacific Language Early Readers - English - Maru,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1433,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,My Pet,,[My Pet],,,,,2006,"Ruluked, Ebil",,,,,,,"Olkeriil, Gary",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,11,English,eng,,,,,,,,,,,,,,Y,Pacific Language Early Readers - English - My Pet,Pacific Language Early Readers - English - My Pet,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1434,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Tino's Cracked Shell,,[Tino's Cracked Shell],,,,,2006,"Route Peter, Niceleen",,,,,,,,Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,7,English,eng,,,,,,,,,,,,,,Y,Pacific Language Early Readers - English - Tino's Cracked Shell,Pacific Language Early Readers - English - Tino's Cracked Shell,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1435,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Living things and environment,Plants,Pacific Language Early Readers,Narrative reader,Trees and Leaves,,[Trees and leaves],,,,,2006,"Padua, Jennifer F. M.",,,,,,,"Lafita, Hannah|de Brum, Rose",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,8,English,eng,,,,,,,,,,,,,,Y,Pacific Language Early Readers - English - Trees and Leaves,Pacific Language Early Readers - English - Trees and Leaves,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1436,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Watch Out Hermit Crab,,[Watch Out Hermit Crab],,,,,2006,"Noto, Lee",,,,,,,"Phillips, Lori",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,10,English,eng,,,,,,,,,,,,,,Y,Pacific Language Early Readers - English - Watch Out Hermit Crab,Pacific Language Early Readers - English - Watch Out Hermit Crab,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1437,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Everyday stories,,Pacific Language Early Readers,Narrative reader,What Would You Do (The Tale of Tafa and Emily),,[What Would You Do (The Tale of Tafa and Emily)],,,,,2006,"Noto, Lee",,,,,,,"Phillips, Lori",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,14,English,eng,,,,,,,,,,,,,,Y,Pacific Language Early Readers - English - What Would You Do,Pacific Language Early Readers - English - What Would You Do,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1438,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Som Nuh Lohm Ah Pik Srihsrihk,,[Go Home Little Pig],,,,,2006,"Noto, Lee","Clarence, Winton|Williams, Keti",Translated and reviewed by,,,,,"Phillips, Lori",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,8,Kosraean,kos,,,Kosrae,Kosrae State,,,,,,,,,,Y,Pacific Language Early Readers - Kosraean - Go Home Little Pig,Pacific Language Early Readers - Kosraean - Go Home Little Pig,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1439,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Everyday stories,,Pacific Language Early Readers,Narrative reader,Nga Kuh In Lie,,[I Can See],,,,,2006,"Ruluked, Ebil","Clarence, Winton|Williams, Keti",Translated and reviewed by,,,,,"Olkeriil, Gary",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,9,Kosraean,kos,,,Kosrae,Kosrae State,,,,,,,,,,Y,Pacific Language Early Readers - Kosraean - I Can See,Pacific Language Early Readers - Kosraean - I Can See,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1440,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Mahk Sroalsroal Srihsrihk,,[Little Black Ant],,,,,2006,"Ruluked, Ebil","Clarence, Winton|Williams, Keti",Translated and reviewed by,,,,,"Olkeriil, Gary",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,10,Kosraean,kos,,,Kosrae,Kosrae State,,,,,,,,,,Y,Pacific Language Early Readers - Kosraean - Little Black Ant,Pacific Language Early Readers - Kosraean - Little Black Ant,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1441,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Puhkantwen Ma Oasr Moul La,,[Many Animals],,,,,2006,"Lafita, Hannah","Clarence, Winton|Williams, Keti",Translated and reviewed by,,,,,"Padua, Jennifer",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,8,Kosraean,kos,,,Kosrae,Kosrae State,,,,,,,,,,Y,Pacific Language Early Readers - Kosraean - Many Animals,Pacific Language Early Readers - Kosraean - Many Animals,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1442,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Maru,,[Maru],,,,,2006,"Ehram, Joe|Helgerberger, Pihdelis|Herry, Lepty|Irasdos, Elihner|Lukner, Welner|Robert, Newton|Rosario, Ioanis|Seiola, Yosko|Shed, Laura","Clarence, Winton|Williams, Keti",Translated and reviewed by,,,,,,Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,12,Kosraean,kos,,,Kosrae,Kosrae State,,,,,,,,,,Y,Pacific Language Early Readers - Kosraean - Maru,Pacific Language Early Readers - Kosraean - Maru,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1443,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Ma Nuctnuct Nuhtihk,,[My Pet],,,,,2006,"Ruluked, Ebil","Clarence, Winton|Williams, Keti",Translated and reviewed by,,,,,"Olkeriil, Gary",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,11,Kosraean,kos,,,Kosrae,Kosrae State,,,,,,,,,,Y,Pacific Language Early Readers - Kosraean - My Pet,Pacific Language Early Readers - Kosraean - My Pet,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1444,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Ful Fokwelihk Se Lal Tino,,[Tino's Cracked Shell],,,,,2006,"Route Peter, Niceleen","Clarence, Winton|Williams, Keti",Translated and reviewed by,,,,,,Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,7,Kosraean,kos,,,Kosrae,Kosrae State,,,,,,,,,,Y,Pacific Language Early Readers - Kosraean - Tino's Cracked Shell,Pacific Language Early Readers - Kosraean - Tino's Cracked Shell,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1445,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Living things and environment,Plants,Pacific Language Early Readers,Narrative reader,Sahk ac Sra,,[Trees and leaves],,,,,2006,"Padua, Jennifer F. M.","Clarence, Winton|Williams, Keti",Translated and reviewed by,,,,,"Lafita, Hannah|de Brum, Rose",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,8,Kosraean,kos,,,Kosrae,Kosrae State,,,,,,,,,,Y,Pacific Language Early Readers - Kosraean - Trees and Leaves,Pacific Language Early Readers - Kosraean - Trees and Leaves,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1446,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Taran Inkacweng,,[Watch Out Hermit Crab],,,,,2006,"Noto, Lee","Clarence, Winton|Williams, Keti",Translated and reviewed by,,,,,"Phillips, Lori",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,10,Kosraean,kos,,,Kosrae,Kosrae State,,,,,,,,,,Y,Pacific Language Early Readers - Kosraean - Watch Out Hermit Crab,Pacific Language Early Readers - Kosraean - Watch Out Hermit Crab,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1447,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Everyday stories,,Pacific Language Early Readers,Narrative reader,Meac Kom E Oruh? (Sramsram se kacl Tafa ac Emily),,[What Would You Do (The Tale of Tafa and Emily)],,,,,2006,"Noto, Lee","Clarence, Winton|Williams, Keti",Translated and reviewed by,,,,,"Phillips, Lori",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,14,Kosraean,kos,,,Kosrae,Kosrae State,,,,,,,,,,Y,Pacific Language Early Readers - Kosraean - What Would You Do,Pacific Language Early Readers - Kosraean - What Would You Do,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1448,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Kisin Pwihk Pwurala Ni Imwomw,,[Go Home Little Pig],,,,,2006,"Noto, Lee","Rodrigo, Mauricio",Translated and reviewed by,,,,,"Phillips, Lori",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,8,Pohnpeian,pon,,,Pohnpei,Pohnpei State,,,,,,,,,,Y,Pacific Language Early Readers - Pohnpeian - Go Home Little Pig,Pacific Language Early Readers - Pohnpeian - Go Home Little Pig,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1449,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Everyday stories,,Pacific Language Early Readers,Narrative reader,I Kak Kilang,,[I Can See],,,,,2006,"Ruluked, Ebil","Rodrigo, Mauricio",Translated and reviewed by,,,,,"Olkeriil, Gary",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,9,Pohnpeian,pon,,,Pohnpei,Pohnpei State,,,,,,,,,,Y,Pacific Language Early Readers - Pohnpeian - I Can See,Pacific Language Early Readers - Pohnpeian - I Can See,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1450,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Kakiles Toantoal,,[Little Black Ant],,,,,2006,"Ruluked, Ebil","Rodrigo, Mauricio",Translated and reviewed by,,,,,"Olkeriil, Gary",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,10,Pohnpeian,pon,,,Pohnpei,Pohnpei State,,,,,,,,,,Y,Pacific Language Early Readers - Pohnpeian - Little Black Ant,Pacific Language Early Readers - Pohnpeian - Little Black Ant,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1451,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Mahn Akan,,[Many Animals],,,,,2006,"Lafita, Hannah","Rodrigo, Mauricio",Translated and reviewed by,,,,,"Padua, Jennifer",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,8,Pohnpeian,pon,,,Pohnpei,Pohnpei State,,,,,,,,,,Y,Pacific Language Early Readers - Pohnpeian - Many Animals,Pacific Language Early Readers - Pohnpeian - Many Animals,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1452,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Maru,,[Maru],,,,,2006,"Ehram, Joe|Helgerberger, Pihdelis|Herry, Lepty|Irasdos, Elihner|Lukner, Welner|Robert, Newton|Rosario, Ioanis|Seiola, Yosko|Shed, Laura","Rodrigo, Mauricio",Translated and reviewed by,,,,,,Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,12,Pohnpeian,pon,,,Pohnpei,Pohnpei State,,,,,,,,,,Y,Pacific Language Early Readers - Pohnpeian - Maru,Pacific Language Early Readers - Pohnpeian - Maru,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1453,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Neih Mahn,,[My Pet],,,,,2006,"Ruluked, Ebil","Rodrigo, Mauricio",Translated and reviewed by,,,,,"Olkeriil, Gary",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,11,Pohnpeian,pon,,,Pohnpei,Pohnpei State,,,,,,,,,,Y,Pacific Language Early Readers - Pohnpeian - My Pet,Pacific Language Early Readers - Pohnpeian - My Pet,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1454,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Kilin Tino Pwalpeweng,,[Tino's Cracked Shell],,,,,2006,"Route Peter, Niceleen","Rodrigo, Mauricio",Translated and reviewed by,,,,,,Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,7,Pohnpeian,pon,,,Pohnpei,Pohnpei State,,,,,,,,,,Y,Pacific Language Early Readers - Pohnpeian - Tino's Cracked Shell,Pacific Language Early Readers - Pohnpeian - Tino's Cracked Shell,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1455,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Living things and environment,Plants,Pacific Language Early Readers,Narrative reader,Tuhke Oh Teh Kan,,[Trees and leaves],,,,,2006,"Padua, Jennifer F. M.","Rodrigo, Mauricio",Translated and reviewed by,,,,,"Lafita, Hannah|de Brum, Rose",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,8,Pohnpeian,pon,,,Pohnpei,Pohnpei State,,,,,,,,,,Y,Pacific Language Early Readers - Pohnpeian - Trees and Leaves,Pacific Language Early Readers - Pohnpeian - Trees and Leaves,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1456,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Kalekeiuk Mpwa,,[Watch Out Hermit Crab],,,,,2006,"Noto, Lee","Rodrigo, Mauricio",Translated and reviewed by,,,,,"Phillips, Lori",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,10,Pohnpeian,pon,,,Pohnpei,Pohnpei State,,,,,,,,,,Y,Pacific Language Early Readers - Pohnpeian - Watch Out Hermit Crab,Pacific Language Early Readers - Pohnpeian - Watch Out Hermit Crab,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1457,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Everyday stories,,Pacific Language Early Readers,Narrative reader,Dahme Pwung Ken Wia? (Soaih en Tafa ih Emily),,[What Would You Do (The Tale of Tafa and Emily)],,,,,2006,"Noto, Lee","Rodrigo, Mauricio",Translated and reviewed by,,,,,"Phillips, Lori",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,14,Pohnpeian,pon,,,Pohnpei,Pohnpei State,,,,,,,,,,Y,Pacific Language Early Readers - Pohnpeian - What Would You Do,Pacific Language Early Readers - Pohnpeian - What Would You Do,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1458,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,"Fa Chi Babiiy, Mu Maen Nga Tabinaew",,[Go Home Little Pig],,,,,2006,"Noto, Lee","Mungwaath, Richard|Parren, Vincent",Translated and reviewed by,,,,,"Phillips, Lori",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,8,Yapese,yap,,,Yap,Yap State,,,,,,,,,,Y,Pacific Language Early Readers - Yapese - Go Home Little Pig,Pacific Language Early Readers - Yapese - Go Home Little Pig,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1459,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Everyday stories,,Pacific Language Early Readers,Narrative reader,Rayog Ni Nga Gu Guuy,,[I Can See],,,,,2006,"Ruluked, Ebil","Mungwaath, Richard|Parren, Vincent",Translated and reviewed by,,,,,"Olkeriil, Gary",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,9,Yapese,yap,,,Yap,Yap State,,,,,,,,,,Y,Pacific Language Early Readers - Yapese - I Can See,Pacific Language Early Readers - Yapese - I Can See,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
1460,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,Pacific Language Early Readers,Narrative reader,Ggan’iing ni Lumor ni Bitiir (apirgog),,[Little Black Ant],,,,,2006,"Ruluked, Ebil","Ribilyan, Elizabeth|Parren, Vincent",Translated and reviewed by,,,,,"Olkeriil, Gary",Pacific Resources for Education and Learning,US Department of Education – Regional Education Laboratory program,10,Yapese,yap,,,Yap,Yap State,,,,,,,,,,Y,Pacific Language Early Readers - Yapese - Little Black Ant,Pacific Language Early Readers - Yapese - Little Black Ant,Digital document downloaded from the publisher’s website by iREi (2025).,,,,,,,,,,,,,,,,,,,
